field_season	date_collected	plot_number	species	sex	weight_g	was_scale_calibrated
2013	7/16/13	2	DM	F	NA	y
2013	7/16/13	7	DM	M	33	y
2013	7/16/13	3	DM	M	NA	y
2013	7/16/13	1	DM	M	NA	y
2013	7/18/13	3	DM	M	40	y
2013	7/18/13	7	DM	M	48	y
2013	7/18/13	4	DM	F	29	y
2013	7/18/13	6	DM	F	37	y
2013	8/19/13	8	DO	F	52	y
2013	10/17/13	3	DO	F	33	y
2013	10/17/13	3	DO	F	50	y
2013	12/10/13	9	DO	F	40	y
2013	12/10/13	1	DO	M	45	y
2013	12/11/13	8	DO	F	41	y
2013	11/12/13	9	DS	F	117	y
2013	11/13/13	11	DS	F	126	y
2013	11/13/13	17	DS	M	132	n
2013	11/13/13	14	DS	F	113	n
2013	11/13/13	11	DS	F	122	y
2013	11/13/13	4	DS	F	107	y
2013	11/13/13	4	DS	F	115	y
2014	1/9/14	1	DM	M	40	y
2014	1/9/14	1	DM	F	36	y
2014	3/13/14	1	DM	F	51	y
2014	3/13/14	1	DM	F	44	y
2014	3/13/14	1	DS	F	146	y
2014	1/8/14	2	NA	NA	NA	y
2014	1/8/14	2	DM	M	44	y
2014	1/8/14	2	PF	F	7	y
2014	1/8/14	2	DM	M	45	y
2014	1/8/14	2	OT	NA	NA	y
2014	1/8/14	2	DS	M	157	n
2014	1/8/14	2	OX	NA	NA	y
2014	2/18/14	2	NA	M	218	n
2014	2/18/14	2	PF	F	7	y
2014	2/18/14	2	DM	M	52	y
2014	3/11/14	3	PF	M	8	y
2014	4/8/14	3	NA	F	NA	y
2014	5/6/14	3	NA	NA	NA	y
2014	5/18/14	3	NA	F	182	y
2014	6/9/14	3	OT	F	29	y
2014	7/8/14	3	NA	F	115	y
2014	7/8/14	3	NA	M	190	y
2014	1/8/78	4	DM	F	37	y
2014	1/8/78	4	DM	M	NA	y
2014	1/8/78	4	DM	F	48	y
2014	1/8/78	4	DO	M	52	y
2014	1/8/78	4	OL	M	35	y